"team1_name","team1_score","team2_name","team2_score","location","nOT","game_length"
"Portland Trail Blazers",89,"Seattle Supersonics",85,"Seattle",0,48
"Boston Celtics",105,"Atlanta Hawks",98,"Boston",2,58
"Denver Nuggets",72,"Los Angeles Clippers",70,"Denver",0,48
"Milwaukee Bucks",95,"Golden State Warriors",91,"Golden State",0,48
"Houston Rockets",93,"Washington Wizards",86,"Houston",0,48
"Indiana Pacers",106,"Orlando Magic",70,"Indiana",0,48
"Los Angeles Lakers",86,"Chicago Bulls",73,"Los Angeles",0,48
"Detroit Pistons",75,"Miami Heat",72,"Miami",0,48
"New Jersey Nets",120,"Cleveland Cavaliers",79,"New Jersey",0,48
"New Orleans Hornets",105,"New York Knicks",97,"New Orleans",1,53
"Philadelphia 76ers",90,"Toronto Raptors",80,"Philadelphia",0,48
"Sacramento Kings",118,"Phoenix Suns",101,"Sacramento",0,48
"San Antonio Spurs",95,"Memphis Grizzlies",86,"San Antonio",0,48
"Boston Celtics",109,"Atlanta Hawks",99,"Atlanta",0,48
"New Orleans Hornets",97,"Cleveland Cavaliers",84,"Cleveland",0,48
"Dallas Mavericks",115,"Seattle Supersonics",105,"Dallas",0,48
"Detroit Pistons",106,"Indiana Pacers",91,"Indiana",0,48
"Memphis Grizzlies",85,"Washington Wizards",74,"Memphis",0,48
"New Jersey Nets",96,"Minnesota Timberwolves",82,"Minnesota",0,48
"Denver Nuggets",80,"Phoenix Suns",79,"Phoenix",0,48
"Sacramento Kings",95,"Portland Trail Blazers",94,"Portland",0,48
"Utah Jazz",110,"Chicago Bulls",90,"Utah",0,48
"Los Angeles Clippers",90,"Houston Rockets",89,"Los Angeles",0,48
"Los Angeles Lakers",111,"Milwaukee Bucks",99,"Los Angeles",0,48
"Minnesota Timberwolves",106,"New York Knicks",88,"New York",0,48
"Orlando Magic",77,"Miami Heat",75,"Orlando",0,48
"Seattle Supersonics",91,"San Antonio Spurs",90,"San Antonio",0,48
"Philadelphia 76ers",94,"Toronto Raptors",84,"Toronto",0,48
"Philadelphia 76ers",108,"New Orleans Hornets",87,"Philadelphia",0,48
"Phoenix Suns",86,"Milwaukee Bucks",81,"Phoenix",0,48
"Atlanta Hawks",119,"Seattle Supersonics",116,"Atlanta",1,53
"Sacramento Kings",91,"Cleveland Cavaliers",85,"Cleveland",0,48
"Denver Nuggets",85,"San Antonio Spurs",81,"Denver",0,48
"Utah Jazz",99,"Los Angeles Clippers",94,"Los Angeles",0,48
"Miami Heat",97,"Los Angeles Lakers",85,"Miami",0,48
"Portland Trail Blazers",77,"Houston Rockets",71,"Portland",0,48
"Indiana Pacers",88,"Washington Wizards",84,"Washington",0,48
"Boston Celtics",92,"Chicago Bulls",82,"Boston",0,48
"Dallas Mavericks",102,"Detroit Pistons",82,"Detroit",0,48
"Houston Rockets",91,"Golden State Warriors",84,"Golden State",0,48
"Memphis Grizzlies",117,"Seattle Supersonics",99,"Memphis",0,48
"Milwaukee Bucks",112,"Cleveland Cavaliers",80,"Milwaukee",0,48
"Minnesota Timberwolves",90,"Sacramento Kings",74,"Minnesota",0,48
"New Orleans Hornets",106,"Atlanta Hawks",94,"New Orleans",0,48
"Orlando Magic",112,"Los Angeles Lakers",102,"Orlando",0,48
"Philadelphia 76ers",83,"Miami Heat",74,"Philadelphia",0,48
"Phoenix Suns",82,"New Jersey Nets",75,"Phoenix",0,48
"San Antonio Spurs",99,"Denver Nuggets",68,"San Antonio",0,48
"New York Knicks",87,"Toronto Raptors",81,"Toronto",0,48
"Indiana Pacers",110,"Dallas Mavericks",98,"Indiana",0,48
"Los Angeles Clippers",126,"New Jersey Nets",118,"Los Angeles",1,53
"Atlanta Hawks",100,"Miami Heat",94,"Atlanta",1,53
"Toronto Raptors",98,"Boston Celtics",95,"Boston",0,48
"Philadelphia 76ers",106,"Cleveland Cavaliers",99,"Cleveland",0,48
"Golden State Warriors",92,"Denver Nuggets",82,"Denver",0,48
"Detroit Pistons",96,"Milwaukee Bucks",91,"Detroit",0,48
"Indiana Pacers",100,"Washington Wizards",84,"Indiana",0,48
"Los Angeles Lakers",112,"Memphis Grizzlies",106,"Memphis",1,53
"Phoenix Suns",94,"San Antonio Spurs",87,"Phoenix",0,48
"Sacramento Kings",107,"Los Angeles Clippers",94,"Sacramento",0,48
"Houston Rockets",83,"Seattle Supersonics",72,"Seattle",0,48
"Utah Jazz",95,"Minnesota Timberwolves",77,"Utah",0,48
"Dallas Mavericks",103,"Chicago Bulls",90,"Dallas",0,48
"Golden State Warriors",100,"Phoenix Suns",90,"Golden State",0,48
"Miami Heat",85,"Cleveland Cavaliers",79,"Miami",0,48
"Milwaukee Bucks",109,"Detroit Pistons",86,"Milwaukee",0,48
"New York Knicks",92,"New Orleans Hornets",86,"New York",1,53
"Orlando Magic",117,"Atlanta Hawks",92,"Orlando",0,48
"New Jersey Nets",93,"Portland Trail Blazers",86,"Portland",0,48
"San Antonio Spurs",107,"Utah Jazz",85,"San Antonio",0,48
"Philadelphia 76ers",95,"Washington Wizards",94,"Washington",0,48
"Boston Celtics",95,"New Orleans Hornets",86,"Boston",0,48
"Indiana Pacers",92,"Los Angeles Clippers",87,"Los Angeles",0,48
"Minnesota Timberwolves",110,"Los Angeles Lakers",107,"Los Angeles",0,48
"Toronto Raptors",92,"Memphis Grizzlies",87,"Memphis",0,48
"Sacramento Kings",103,"Houston Rockets",84,"Sacramento",0,48
"Seattle Supersonics",96,"New Jersey Nets",95,"Seattle",0,48
"Dallas Mavericks",113,"Toronto Raptors",102,"Dallas",0,48
"New York Knicks",125,"Cleveland Cavaliers",93,"New York",0,48
"Boston Celtics",102,"Orlando Magic",97,"Orlando",0,48
"Miami Heat",100,"Phoenix Suns",90,"Phoenix",1,53
"Utah Jazz",102,"Indiana Pacers",91,"Utah",0,48
"Golden State Warriors",110,"Denver Nuggets",89,"Golden State",0,48
"Houston Rockets",89,"San Antonio Spurs",75,"Houston",0,48
"Los Angeles Lakers",101,"Memphis Grizzlies",91,"Los Angeles",0,48
"New Jersey Nets",87,"Atlanta Hawks",72,"New Jersey",0,48
"Sacramento Kings",98,"Minnesota Timberwolves",86,"Sacramento",0,48
"Washington Wizards",103,"Milwaukee Bucks",78,"Washington",0,48
"New Orleans Hornets",115,"Chicago Bulls",90,"Chicago",0,48
"Cleveland Cavaliers",111,"Chicago Bulls",101,"Cleveland",0,48
"Sacramento Kings",92,"Denver Nuggets",90,"Denver",0,48
"Washington Wizards",88,"Detroit Pistons",83,"Detroit",0,48
"Los Angeles Clippers",89,"Miami Heat",80,"Los Angeles",0,48
"New Orleans Hornets",89,"Toronto Raptors",74,"New Orleans",0,48
"Orlando Magic",87,"New York Knicks",85,"New York",0,48
"Philadelphia 76ers",99,"Boston Celtics",93,"Philadelphia",0,48
"Phoenix Suns",98,"Memphis Grizzlies",85,"Phoenix",0,48
"Dallas Mavericks",103,"Portland Trail Blazers",88,"Portland",0,48
"Indiana Pacers",114,"Seattle Supersonics",111,"Seattle",1,53
"Utah Jazz",93,"Los Angeles Lakers",85,"Utah",0,48
"Atlanta Hawks",98,"Milwaukee Bucks",80,"Atlanta",0,48
"Minnesota Timberwolves",114,"Golden State Warriors",98,"Golden State",0,48
"Boston Celtics",91,"New York Knicks",80,"Boston",0,48
"Los Angeles Lakers",105,"Dallas Mavericks",103,"Los Angeles",0,48
"New Orleans Hornets",98,"Houston Rockets",96,"New Orleans",1,53
"Orlando Magic",88,"Washington Wizards",78,"Orlando",0,48
"Phoenix Suns",102,"Indiana Pacers",96,"Phoenix",0,48
"Portland Trail Blazers",88,"Miami Heat",69,"Portland",0,48
"Sacramento Kings",98,"Denver Nuggets",77,"Sacramento",0,48
"San Antonio Spurs",98,"Philadelphia 76ers",93,"San Antonio",0,48
"Toronto Raptors",103,"Chicago Bulls",89,"Toronto",0,48
"Utah Jazz",104,"Memphis Grizzlies",71,"Utah",0,48
"Atlanta Hawks",94,"Detroit Pistons",92,"Atlanta",0,48
"Chicago Bulls",112,"Cleveland Cavaliers",104,"Chicago",0,48
"Denver Nuggets",92,"Indiana Pacers",81,"Denver",0,48
"Dallas Mavericks",121,"Golden State Warriors",116,"Golden State",0,48
"Houston Rockets",97,"Philadelphia 76ers",72,"Houston",0,48
"Los Angeles Clippers",104,"Minnesota Timberwolves",88,"Los Angeles",0,48
"New Orleans Hornets",94,"Milwaukee Bucks",88,"Milwaukee",0,48
"New Jersey Nets",121,"Orlando Magic",88,"New Jersey",0,48
"Seattle Supersonics",100,"Miami Heat",71,"Seattle",0,48
"Washington Wizards",100,"New York Knicks",97,"Washington",0,48
"Los Angeles Lakers",110,"Utah Jazz",101,"Los Angeles",0,48
"Memphis Grizzlies",102,"Phoenix Suns",94,"Memphis",0,48
"Sacramento Kings",104,"San Antonio Spurs",80,"San Antonio",0,48
"Portland Trail Blazers",104,"Toronto Raptors",91,"Toronto",0,48
"Boston Celtics",114,"Orlando Magic",109,"Boston",1,53
"Milwaukee Bucks",140,"Cleveland Cavaliers",133,"Cleveland",2,58
"Minnesota Timberwolves",92,"Denver Nuggets",84,"Denver",0,48
"New Jersey Nets",106,"Phoenix Suns",93,"New Jersey",0,48
"Los Angeles Clippers",94,"New Orleans Hornets",90,"New Orleans",0,48
"Chicago Bulls",107,"Orlando Magic",87,"Chicago",0,48
"Dallas Mavericks",122,"Los Angeles Clippers",95,"Dallas",0,48
"Golden State Warriors",106,"Los Angeles Lakers",102,"Golden State",0,48
"Houston Rockets",103,"Sacramento Kings",96,"Houston",0,48
"Memphis Grizzlies",107,"Miami Heat",96,"Miami",0,48
"New York Knicks",97,"Seattle Supersonics",80,"New York",0,48
"Portland Trail Blazers",98,"Washington Wizards",79,"Washington",0,48
"Phoenix Suns",103,"Boston Celtics",94,"Boston",0,48
"Cleveland Cavaliers",96,"Toronto Raptors",83,"Cleveland",0,48
"Detroit Pistons",91,"Atlanta Hawks",80,"Detroit",0,48
"Memphis Grizzlies",96,"Denver Nuggets",93,"Memphis",0,48
"Indiana Pacers",126,"Milwaukee Bucks",119,"Milwaukee",1,53
"New Jersey Nets",105,"Portland Trail Blazers",104,"New Jersey",0,48
"Seattle Supersonics",92,"Philadelphia 76ers",88,"Philadelphia",0,48
"San Antonio Spurs",111,"Dallas Mavericks",104,"San Antonio",0,48
"Detroit Pistons",86,"Chicago Bulls",76,"Chicago",0,48
"Minnesota Timberwolves",113,"Atlanta Hawks",95,"Minnesota",0,48
"New Orleans Hornets",93,"Utah Jazz",88,"Utah",0,48
"Boston Celtics",115,"Cleveland Cavaliers",100,"Boston",0,48
"Indiana Pacers",94,"Denver Nuggets",72,"Indiana",0,48
"New Orleans Hornets",98,"Los Angeles Lakers",82,"Los Angeles",0,48
"Memphis Grizzlies",114,"Houston Rockets",109,"Memphis",1,53
"New York Knicks",97,"Miami Heat",92,"Miami",0,48
"Milwaukee Bucks",101,"Portland Trail Blazers",79,"Milwaukee",0,48
"New Jersey Nets",79,"Washington Wizards",65,"New Jersey",0,48
"Orlando Magic",111,"Golden State Warriors",85,"Orlando",0,48
"Phoenix Suns",99,"Philadelphia 76ers",91,"Philadelphia",0,48
"San Antonio Spurs",97,"Los Angeles Clippers",84,"San Antonio",0,48
"Seattle Supersonics",91,"Toronto Raptors",79,"Toronto",0,48
"Phoenix Suns",102,"Atlanta Hawks",88,"Atlanta",0,48
"Chicago Bulls",97,"Milwaukee Bucks",95,"Chicago",0,48
"Cleveland Cavaliers",111,"Denver Nuggets",104,"Cleveland",0,48
"Dallas Mavericks",104,"Memphis Grizzlies",87,"Dallas",0,48
"Detroit Pistons",91,"Seattle Supersonics",78,"Detroit",0,48
"Los Angeles Clippers",94,"Houston Rockets",83,"Houston",0,48
"Miami Heat",101,"Golden State Warriors",92,"Miami",0,48
"Portland Trail Blazers",98,"Minnesota Timberwolves",92,"Minnesota",1,53
"Boston Celtics",113,"New York Knicks",90,"New York",0,48
"Sacramento Kings",98,"Utah Jazz",96,"Utah",0,48
"Detroit Pistons",101,"New Jersey Nets",91,"Detroit",0,48
"Indiana Pacers",107,"Philadelphia 76ers",97,"Indiana",0,48
"Los Angeles Lakers",107,"Orlando Magic",84,"Los Angeles",0,48
"Sacramento Kings",107,"New Orleans Hornets",92,"Sacramento",0,48
"Washington Wizards",95,"Toronto Raptors",82,"Toronto",0,48
"Chicago Bulls",94,"Boston Celtics",83,"Chicago",0,48
"Seattle Supersonics",111,"Cleveland Cavaliers",98,"Cleveland",0,48
"Los Angeles Clippers",91,"San Antonio Spurs",79,"Los Angeles",0,48
"Memphis Grizzlies",104,"Golden State Warriors",91,"Memphis",0,48
"Houston Rockets",105,"Miami Heat",100,"Miami",1,53
"Philadelphia 76ers",93,"Denver Nuggets",71,"Philadelphia",0,48
"Phoenix Suns",87,"Orlando Magic",84,"Phoenix",0,48
"Washington Wizards",109,"Atlanta Hawks",99,"Atlanta",0,48
